PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
Unknown,Nucleic Acid-Locked Smart Carrier for Photothermal/Chemotherapy-Amplified Immunogenic Cell Death to Enhance Systemic Antitumor Efficacy.,2025-Apr-04,,,Not found
Unknown,Lines of Therapy for Locally Advanced/Metastatic Urothelial Carcinoma: The New Paradigm.,2025-Apr-04,,,Not found
Unknown,Using Real-World Data for Machine-Learning Algorithms to Predict the Treatment Response in Advanced Melanoma: A Pilot Study for Personalizing Cancer Care.,2025-Apr,Brohet; de Boer; Mossink; van der Eerden; Oostmeyer; Idzerda; Paardekooper; Beld; Lijffijt; Dille; de Groot,"Division Data Science, Department of Innovation and Science, Isala, Zwolle, the Netherlands.; Department of Oncology Center, Isala, Zwolle, the Netherlands.; Division Data Science, Department of Innovation and Science, Isala, Zwolle, the Netherlands.; Division Data Science, Department of Innovation and Science, Isala, Zwolle, the Netherlands.; Division Data Science, Department of Innovation and Science, Isala, Zwolle, the Netherlands.; Division Data Science, Department of Innovation and Science, Isala, Zwolle, the Netherlands.; Department of Radiotherapy, Isala, Zwolle, the Netherlands.; Department of Business Intelligence, Isala, Zwolle, the Netherlands.; Department of Medical Ethics & Legal Affairs, Isala, Zwolle, the Netherlands.; Department of Innovation and Science, Isala, Zwolle, the Netherlands.; Department of Oncology Center, Isala, Zwolle, the Netherlands.",Not found
Unknown,MIST: An interpretable and flexible deep learning framework for single-T cell transcriptome and receptor analysis.,2025-Apr-04,,,Not found
Unknown,Findings from a qualitative analysis: Social media influencers of color as trusted messengers of HPV vaccination messages.,2025,Sustaita-Ruiz,"Brilla Media, North Bay Village, Florida, United States of America.",Not found
Unknown,Effects of cannabinoids on immune checkpoint inhibitor response: CCTG pooled analysis of individual patient data.,2025-Apr-04,Coschi; Ding; Tong; Tu; O'Callaghan; Vera-Badillo; Seymour; Renouf; Chen; Gaudreau,"Canadian Cancer Trials Group, Kingston, ON, Canada.; Canadian Cancer Trials Group, Kingston, ON, Canada.; Kingston Health Sciences Centre, Kingston, ON, Canada.; Canadian Cancer Trials Group, Kingston, ON, Canada.; Canadian Cancer Trials Group, Kingston, ON, Canada.; Cancer Centre of Southeastern Ontario, Kingston, ON, Canada.; Canadian Cancer Trials Group, Kingston, ON, Canada.; Pancreas Centre, BC Cancer, Vancouver, BC, Canada.; Princess Margaret Cancer Centre, Toronto, ON, Canada.; Canadian Cancer Trials Group, Kingston, ON, Canada.",Not found
Unknown,Nutritional Risk Index (NRI) predicts the clinical outcomes of patients with gastric cancer who received immune checkpoint inhibitors (PD-1/PD-L1).,2025-Jan-03,,,Not found
Unknown,Lung cancer palindromia due to the deficiency of vital energy and blood syndrome treated by TCM herbs: A case report.,2025-Jan-03,,,Not found
Unknown,CD274/PD-L1 copy number gained malignant peripheral nerve sheath tumor: A case report and literature review.,2025-Jan-03,,,Not found
Unknown,"Neoadjuvant camrelizumab plus trastuzumab and chemotherapy for HER2-positive gastric or gastroesophageal junction adenocarcinoma: a single-arm, phase 2 trial.",2025-Apr-04,,,lining97@126.com
